a	det. 一
actor	n. 男演员，行动者，演员
actress	n. 女演员
actual	adj. 现实的，实际的，现行的
actuality	n. 实际，记录片，真事
actualize	v. 实行，成为现实
actually	adv. 实际上，居然，竟然，如今
actuate	v. 激励，开动
acuity	n. 尖锐，剧烈
acumen	n. 渐尖头，敏锐，明智
acute	n. 尖音符\nadj. 剧烈的，敏锐的，尖的，尖锐的
ad	n. (缩)广告，作广告
adage	n. 谚语
adamant	n. 坚硬的物质\nadj. 坚强的，坚硬的
adapt	v. 使适应，改编，适应
adaptable	adj. 适合的
adaptation	n. 适应，改编
adaptor	n. 接合体分子
add	v. 增添，加，补充，添加，做加法
addendum	n. 补遗，齿顶
addict	n. 入迷的人，有瘾的人\nv. 使沉溺，使成瘾
addition	n. 增加，附加物，加，增加的人
additional	adj. 增加的，附加的，添加的
additive	n. 添加剂，添加物\nadj. 附加的，加成的，加法的
addle	v. 使变质，变质\nadj. 变质的，昏乱的
address	n. 地址，演说\nv. 致词，对付，呼吁
addressee	n. 收信人
adduce	v. 引证
adept	n. 炼金术士，能手\nadj. 巧妙的，熟练的
adequate	adj. 足够的，恰当的，勉强够的，适当的
adequately	adv. 恰当地
adhere	v. 粘附，坚持
adherent	n. 信徒\nadj. 贴生的，粘着的
adhesive	n. 粘合剂，绊创膏\nadj. 忘不了的，粘的
adjacent	adj. 邻近的
adjective	n. 形容词
adjoin	v. 毗连，附加，贴近
adjourn	v. 使休会，延期
adjunctive	adj. 附加的
adjust	v. 调整，修整，调节，解决
adjustable	adj. 可调整的，调节的
adjustment	n. 调整，调节，调解
adjutant	n. 副官，助手
administer	v. 管理，给予，施行
administration	n. 行政管理，管理机关
administrative	adj. 行政管理的
admirable	adj. 可钦佩的，绝妙的
admiral	n. 海军上将，舰队司令
admiralty	n. 海事法庭
admiration	n. 羡慕，钦佩，惊奇
admire	v. 钦佩，赞美，称赞
admissible	adj. 可进入的，可容许的
admission	n. 准入，承认，录用，入场费
admit	v. 承认，接纳，接受
admittance	n. 导纳，通道
admittedly	adv. 明白地，公认地
admonish	v. 警告，力劝
admonition	n. 警告，劝告
ado	n. 纷扰，忙乱
adolescence	n. 青春期
adolescent	n. 青少年\nadj. 青春期的，青少年的
adopt	v. 采用，采纳，采取，继承
adoption	n. 采用，采取，收养
adoptive	adj. 采取的，收养的
adorable	adj. 可爱的
adoration	n. 崇拜
adore	v. 崇拜，敬慕
adorn	v. 装饰，佩带
adornment	n. 装饰(品)
adrift	adj. 漂浮着，脱开着\nadv. 漂浮着，脱开着
adroit	adj. 机敏的，灵巧的
adulate	v. 过分称赞
adulation	n. 过分的称赞
adult	n. 成年人\nadj. 成年的，成熟的
adulterer	n. 奸夫
adulteress	n. 奸妇
adultery	n. 通奸
advance	n. 前进\nv. 前进，促进，提出\nadj. 先行的，预先的
advanced	adj. 先进的，发达的
advantage	n. 优点，优势，好处，有利地位\nv. 有利于，获利
advantageous	adj. 有利的，有用的
advent	n. 出现
adventure	n. 冒险，惊险活动，生意\nv. 拿...冒险，冒险
adventurer	n. 雇佣兵，冒险家
adventurous	adj. 冒险的
adverb	n. 副词，状语词组
adverbial	adj. 副词的
adversary	n. 敌手，对手\nadj. 敌手，对手
adverse	v. 逆的，相反的\nadj. 不利的，逆的
adversity	n. 逆境，不幸，厄运，灾祸
advertise	v. 登广告，推销，公告，登公告
advertisement	n. 广告
advertising	adj. 广告的
advice	n. 忠告，意见，报道，劝告
advisable	adj. 适当的，可行的，可取的
advise	v. 劝告，通知，建议
adviser	n. 顾问，指导教师
advisory	n. 报告\nadj. 顾问的，劝告的
advocacy	n. 辩护，拥护
advocate	n. 辩护者，基督\nv. 拥护，提倡
adze	n. 扁斧
aeon	n. 极长时期，永世
aerate	v. 充气于，供氧于
aerial	n. 前传，天线\nadj. 天空的，航空的，空气的
aerobatics	n. 飞行特技
aeroplane	n. 飞机
aerospace	n. 航空与航天空间
aesthetic	adj. 美的，美学的
afar	adv. 在远处
affable	adj. 亲切友善的
affair	n. 事件，事情，事
affect	n. 内心倾向，自觉感情\nv. 影响，改变，打动，侵袭
affection	n. 友爱，爱慕，属性，影响
affectionate	adj. 充满感情的
affidavit	n. 宣誓书
affiliate	n. 分号(公司)，成员\nv. 使隶属于，发生联系
affinity	n. 类同，相似，喜好
affirm	v. 断言，肯定，证实
affirmation	n. 确定，确认
affirmative	adj. 肯定的
affix	n. 词缀，贴上，附加\nv. 添，添上
afflict	v. 使苦恼
affliction	n. 苦恼，苦事
affluence	n. 大量，富裕
affluent	n. 富裕的人，支流\nadj. 畅流的，充裕的
afford	v. 买得起，经受得起，提供
affordable	adj. 买得起的
afforest	v. 造林于
affray	n. 闹事\nv. 恐吓
affront	n. 公开侮辱\nv. 公开侮辱，面对
afghani	n. 阿富汗尼
aficionado	n. 斗牛迷
afield	adv. 离开着，偏离着
aflame	adj. 炽烈的，燃烧着\nadv. 炽烈的，燃烧着
afloat	adj. 航行中的，飘浮着，漂流着\nadv. 飘浮着，漂流着
afoot	adj. 活动着，徒步\nadv. 活动着，徒步
aforesaid	adj. 上述的
afraid	adj. 害怕的，恐怕，恐惧的，遗憾的
afresh	adv. 重新
africa	n. 非洲
african	n. 非洲人\nadj. 非洲的
after	conj. 在...以后\nprep. 在...后，随...之后，在...后面
afterlife	n. 死后的生活，来世
aftermath	n. 后果
afternoon	n. 下午，后期
afterward	adv. 后来
afterwards	adv. 以后
again	adv. 再，又，到原处
against	prep. 反对，对着，对...不利，逆
agape	n. 爱筵，兄弟情谊\nadj. 大张着嘴，洞开着\nadv. 大张着嘴，洞开着
agate	n. 玛瑙
age	n. 年龄，时代，成年\nv. 使老，变陈
ageless	adj. 永恒的
agency	n. 代理，代理处，代理行
agenda	n. 行为事项
agent	n. 代理人，试剂，动源
aggravate	v. 加重，恶化，激怒
aggravation	n. 加重，恶化
aggregate	n. ,adj.合计(的)，集聚体，总数\nv. 聚集，使聚集\nadj. 聚合的，聚集的
aggregation	n. 总计，集合
aggression	n. 侵略，敌对行为，侵犯
aggressive	adj. 侵略的，进取的，侵犯的
aggressor	n. 侵略者
aggro	n. 暴力扰乱
aghast	adj. 吓呆的
agile	adj. 机敏的，敏捷的
agio	n. 贴水，贴水率
agitate	v. 鼓动，搅动
agitation	n. 鼓动，不安，激动，搅动
agitator	n. 鼓动者，搅拌器
aglow	adj. 发光的\nadv. 发光地
agnostic	n. 不可知论者\nadj. 不可知论的
ago	adv. ...以前，以前
agog	adj. 渴望着\nadv. 渴望着
agonize	v. 使痛苦，苦斗，受折磨
agony	n. 苦恼，痛苦，爆发
agrarian	n. 平均地权论者\nadj. 土地的，土地所有制的
agree	v. 同意，一致认为，承认，表示同意
agreeable	adj. 惬意的，易相处的，适合的，同意的
agreeably	adv. 欣然，依照
agreed	adj. 商定的
agreement	n. 一致，协议，达成协议，协定
agricultural	adj. 农业的
agriculture	n. 农业
aground	adj. 搁浅，在地上\nadv. 搁浅，在地上
ah	adv. 啊
aha	adv. 啊哈
ahead	adv. 在...前，向前，在将来
ahem	adj. 哼
aid	n. 帮助，外援\nv. 援助，救护，帮助
aide	n. 副官，助手
aids	n. (缩)艾滋病，爱滋病
ail	v. 使受病痛，处境困难
ailment	n. 疾病
aim	n. 目的，瞄准\nv. 旨在，指向，制导，打算
aimless	adj. 无目的的
air	n. 空气，气派，天气\nv. 晾，晾
airborne	adj. 空运的，升空的
airbus	n. 空中客车
aircraft	n. 航空器，飞机
aircrew	n. 空勤人员
airforce	n. 空军
airhostess	n. 空姐
airlane	n. 航线
airlift	n. 空运\nv. 空运
airline	n. 航线，航空公司
airliner	n. 定期航班，大型客机
airmail	n. 航空邮件，航空信\nv. 航空邮寄
airplane	n. 飞机
airport	n. 机场
airship	n. 飞机，飞艇
airspace	n. 空域，领空
airway	n. 航线，风道，气道
airy	adj. 通风的，空洞的
aisle	n. 过道，走廊，通道，侧廊
ajar	adj. 半开着，不协调地\nadv. 半开的，半开着，不协调地
akimbo	adj. 弯曲着\nadv. 弯曲着
akin	adj. 同类的，同源的
alacrity	n. 乐意，敏捷
alarm	n. 惊慌，警报，惊恐\nv. 打扰，使惊恐
alarming	adj. 警告的
alas	adv. 哎呀\nint. 唉，哎呀
albatross	n. 海鸟绒，信天翁
albino	n. 白化体，白化病
album	n. 相册，地图册，唱片套，粘贴簿
alcohol	n. 酒精，醇，酒糖
alcoholic	n. 酗酒者\nadj. 含酒精的，酒精的
alcoholism	n. 嗜酒者，酒鬼
alcove	n. 凹室，凉亭
ale	n. 淡啤酒
alert	n. 警报，警戒\nv. 使认识到，向...报警\nadj. 警惕的，灵活的，活泼的，警觉的
algebra	n. 代数，代数学，线性代数
algorithm	n. 算法，规则系统
alias	n. 化名
alibi	n. 借口\nv. 为...辩解，辩解
alien	n. 外国人，外侨\nv. 使疏远，转让\nadj. 异国的，异样的，外国的
alienate	v. 疏远，转让，挪用，使疏远，离间
alienation	n. 异化
alight	v. 飘落，下来\nadj. 燃烧着，照亮的
align	v. 校正，结盟
alignment	n. 对准，准线
alike	adj. 相象的，同样的\nadv. 一样地
aliment	n. 精神养料，食物\nv. 向...提供食物
alimentary	adj. 饮食的，消化的
alimony	n. 赡养费，生活费
alive	adj. 活着的，有生命的，存在的
alkali	n. 碱
all	n. 一切\npron. 全体，一切\nadj. 所有的\nadv. 单单，更其
allay	v. 减轻，平息
allege	v. 断言，提出，指控，声言
allegedly	adv. 根据宣称
allegiance	n. 忠诚，忠贞
allegory	n. 讽喻法，寓言
allergic	adj. 过敏的，变态的
allergy	n. 反感，过敏，变应性，过敏症
alleviate	v. 使易于忍受，缓和
alley	n. 球道，小径
alliance	n. 联合，同盟，结盟，盟约
allied	adj. 同盟的，结盟的，协约国的
allocate	v. 分配，把...拨给
allocation	n. 分配
allot	v. 分配，配给
allotment	n. 分配，份额，拨款
allow	v. 允许，许可，允给
allowance	n. 补助，津贴，限额\nv. 定量供应
alloy	n. 合金\nv. 减少
allude	v. 暗指，暗示
allure	n. 诱惑力，勾引\nv. 诱惑，迷人
allusion	n. 暗指，影射，典故
alluvium	n. 冲积层
ally	n. 同盟者，同盟国，助手\nv. 结盟，使结盟，联合
almanac	n. 历书，年鉴
almighty	adj. 极度的，全能的\nadv. 非常
almost	adv. 几乎，差不多
alms	n. 好事，施舍
aloft	adv. 向高处，在高处
alone	adj. 单独的，仅仅，单单\nadv. 单独地，仅仅
along	adv. 一起\nprep. 沿着，依照
alongside	adv. 在旁边\nprep. 在...旁边
aloof	adj. 冷漠的，远离的\nadv. 距离上
aloud	adv. 大声地，出声地，大声的
alpha	n. 第一个，优等\nadj. 第一位的
alphabet	n. 字母表，初步，符号系统
already	adv. 马上，已经
also	adv. 也，而且，同样地
altar	n. 圣餐台，圣坛
alter	v. 改变，变动，阉割
alteration	n. 改变
alternate	n. 代替者，选择\nv. 轮流，交替\nadj. 间隔的，交替的
alternation	n. 改变，变更
alternative	v. 两者取一
alternator	n. 交流发电机
although	conj. 虽然，尽管
altimeter	n. 测高仪
altitude	n. 高度，高，高处
alto	n. 女低音，中音乐器\nadj. 中音部的
altogether	adv. 全部地，总共，完全
aluminium	n. 铝
aluminum	n. 铝
always	adv. 总是，始终，永远
am	v. be的第一人称现在时形式
amalgamate	v. 使混合，使混，联合
amass	v. 积聚，聚集
amateur	n. 爱好者，外行\nadj. 业余的，外行的
amateurish	adj. 业余的
amaze	v. 使惊叹，使迷惑，惊奇
amazement	n. 惊奇，诧异
ambassador	n. 大使，代表
amber	n. 黄灯，琥珀\nadj. 琥珀色的，琥珀制的
ambience	n. 点缀，周围环境，气氛，氛围
ambient	adj. 周围的，包围着的
ambiguity	n. 歧义性，意义不明处，含糊不清
ambiguous	adj. 模棱两可的，引起歧义的
ambition	n. 抱负，野心，强烈欲望\nv. 有...的野心
ambitious	adj. 雄心勃勃的，费劲的，有野心的
ambivalent	adj. 有矛盾情绪的
amble	n. 缓行步态\nv. 缓行
ambrosia	n. 仙果，珍馐美味
ambulance	n. 救护车
ambush	n. 伏击者，埋伏\nv. 伏击，打埋伏
amend	v. 修改，更正，改进，纠正
amendment	n. 修改(通知书)
amends	n. 赔偿
amenity	n. 舒适
america	n. 美国，美洲
american	n. 美国人\nadj. 美国的
amiable	adj. 和蔼的，亲切的，可爱的，友好的
amicable	adj. 友好的，和睦的，友善的
amid	prep. 在...之间，在...中间
amidships	adv. 在中部
amiss	adj. 不恰当的，出差错的\nadv. 不顺当，错误地
amity	n. 和睦
ammeter	n. 安培计
ammunition	n. 弹药，军火
amnesia	n. 记忆缺失，健忘症
amnesty	n. 大赦，忽视\nv. 对...实行大赦
amok	n. 杀人狂
among	prep. 在...之中，被...所环绕，系...中之一
amoral	adj. 无从区分是非的
amorous	adj. 求爱的，性爱的，多情的
amortize	v. 分期偿还，摊销
amount	n. 数量，总数，量\nv. 合计，等同
amour	n. 恋人，性爱
amp	n. 截肢，安培
ampere	n. 【电】安培，安培
amphibian	n. 两栖动物，水陆飞机\nadj. 两栖的
ample	adj. 宽大的，充裕的，大量的，宽敞的
amplification	n. 放大
amplifier	n. 放大器，扩音机，扩大的人
amplify	v. 详述，放大，夸大
amplitude	n. 充足，幅度
amputate	v. 砍掉，切断
amulet	n. 护身符
amuse	v. 逗乐，给娱乐，打发
amusement	n. 娱乐，乐趣，乐
an	det. 一
anaemia	n. 贫血，无活力
analgesic	n. 止痛剂\nadj. 痛觉缺失的
analogize	v. 对...作类比
analogue	n. 模拟，类似物，同源词，相似物
analogy	n. 类似，类推，比喻，同功\nv. 类推，比拟
analyse	v. 分析，解析
analysis	n. 分析，分解
analyst	n. 分析者
analytic	adj. 分析的
analytical	adj. 分析的，解析的
analyze	v. 分析，分解
anarchism	n. 无法无天，无政府主义
anarchy	n. 无政府状态，混乱状态
anatomy	n. 结构，解剖学
ancestor	n. 祖先，祖宗，原型，原种
ancestry	n. 世系，祖先
anchor	n. 锚，隐士\nv. 停泊，固定，抛锚
anchorage	n. 锚地，下锚
ancient	n. 古钱，旗帜\nadj. 古老的，古代的
ancillary	n. 附属物，助手\nadj. 从属的，辅助的
and	conj. 和，与，而
anecdote	n. 轶事，轶闻，秘闻
aneroid	adj. 无液的
anew	adv. 再次，重新
angel	n. 天命，安琪儿，天使
angelic	adj. 天使般的，天使的
anger	n. 生气，愤怒，怒，痛苦\nv. 使发怒，发怒
angina	n. 绞痛
angle	n. 角，角度\nv. 获取，钓鱼
angry	adj. 生气的，愤怒的，发怒的，狂暴的
angst	n. 焦虑
anguish	n. 极度痛苦，剧痛\nv. 感到极度的痛苦
angular	adj. 角状的，有角的，骨瘦如柴的
anhydrous	adj. 无水的
animadvert	v. 批评，评述
animal	n. 动物，畜
animate	v. 使有活力，激活
animation	n. 生气，生机，活，激励
animosity	n. 仇恨
ankle	n. 踝，踝骨
annals	n. 编年史，活动年报，年鉴
anneal	v. 锻炼，烧
annex	n. 附录，附件，附加物\nv. 附加，盖，吞并
annexe	n. 附加部分
annihilate	v. 歼灭，取消
anniversary	n. 周年纪念日
annotate	v. 给...作注解，作注解
announce	v. 宣布，通报，声称
announcement	n. 通知
announcer	n. 播音员，宣告者
annoy	v. 烦扰，使生气，打搅，使恼怒
annoyance	n. 烦恼，麻烦事
annual	n. 年报\nadj. 每年的，年度的
annually	adv. 每年，年年
annuity	n. 年金，年金保险，养老金
annul	v. 废除，使消失
annular	adj. 环状的
anode	n. 阳极
anodyne	n. 止痛药\nadj. 安慰人的，止痛的
anomalous	adj. 不规则的，反常的
anomaly	n. 不规则，畸型
anon	adv. 立刻，下次
anonymous	adj. 匿名的，无特色的
another	pron. 又一个\nprep. 另一个
answer	n. 答案，反应\nv. 答复，回应，回击
ant	n. 蚂蚁
antagonism	n. 对立，敌对，对抗，拮抗
antagonist	n. 对手，敌手
antagonize	v. 使对抗，反抗，树敌
antarctic	n. 南极地区\nadj. 南极的
antecedent	n. 触角，天线，前事，前项\nadj. 前项的，先时的
antedate	n. 倒填的日期\nv. 发生于...以前
antelope	n. 叉角羚，羚羊
antenatal	adj. 胎儿期的
antenna	n. 触角，蕊喙，天线
anterior	adj. 先前的，在前的
anteroom	n. 前厅
anthem	n. 国歌，圣歌
anthology	n. 选集
anthracite	n. 无烟煤
anthropoid	n. 类人猿\nadj. 似人的，似猿的
antibiotic	n. 抗菌素\nadj. 抗菌的，抗生的
antibody	n. 抗体
anticipate	v. 期望，预料，预期，预言
anticipation	n. 期望，预料
anticlimax	n. 突降，突降法
antics	n. 滑稽动作
antidote	n. 矫正方法，解毒药
antifreeze	n. 海洛因，阻冻剂\nadj. 阻冻的
antigen	n. 抗原
antihero	n. (缺乏主角气质的)反主角
antiknock	n. 抗爆，抗爆剂\nadj. 抗爆的
antipathy	n. 不相容，反感
antiquary	n. 古文物收藏家
antique	n. 古玩，古董\nadj. 古老的，陈旧的，古风的
antiquity	n. 古代，古迹
antiseptic	n. 抗菌剂，防腐剂，消毒剂\nadj. 抗菌的，防腐的，消毒的
antisocial	adj. 反社会
antithesis	n. 对偶，对照
antler	n. 角枝，鹿角
antonym	n. 反义词
antonymous	adj. 反义的
anus	n. 肛门
anxiety	n. 焦虑，担心，渴望
anxious	adj. 焦急的，切盼的，焦虑的
anxiously	adv. 焦急地，急切地
any	pron. 若干\nadj. 任何，一些\nadv. 多少，略
anybody	pron. 任何人
anyhow	n. 随便杂乱无张\nadv. 无论如何，不管怎样
anyone	pron. 无论谁，任何人
anything	pron. 无论什么，任何事物
anyway	adv. 不管怎样，随随便便地
anywhere	pron. 任何地方\nadv. 无论何地
aorta	n. 主动脉
apace	adv. 飞快地
apart	adv. 分离，隔开，成距离，成零碎
apartheid	n. 分隔，种族隔离
apartment	n. 套房，公寓，房间，一套房间
apathy	n. 无感情，无兴趣
ape	n. 猿猴，猴，模仿者\nv. 模仿
aperitif	n. 开胃酒
aperture	n. 孔，孔径
apex	n. 顶，顶峰
aphorism	n. 格言，箴言
apiary	n. 养蜂场
apiece	adv. 按各个计算
apocalypse	n. 启示录，天启
apocryphal	adj. 次经的
apogee	n. 远地点，最远点
apologetic	n. 辩护\nadj. 辩护的，道歉的
apologize	v. 道歉，辩解
apology	n. 道歉，辩护
apoplexy	n. 中风
apostrophe	n. 撇号
appal|appall	v. 减弱，走味
apparatus	n. 仪器，设备，机器，器官
apparent	adj. 明显的，表面上的，显然的
apparently	adj. 显然，似乎
apparition	n. 初现，鬼
appeal	n. 呼吁，上诉\nv. 控告，呼吁
appealing	adj. 有吸引力的
appear	v. 出现，好象，露面
appearance	n. 出现，外表，出版
appease	v. 缓解，平息
append	v. 附加，盖
appendage	n. 附器，附属物
appendix	n. 附录，盲肠，阑尾
appertain	v. 属
appetite	n. 食欲，欲望，爱好，胃口
appetizer	n. 开胃小吃
appetizing	adj. 开胃的
applaud	v. 称赞，拍手喝彩，鼓掌
applause	n. 喝彩，欢呼，称赞，鼓掌
apple	n. 苹果
appliance	n. 用具，器械，器具
applicable	adj. 生动的，适用的，可应用的，适当的
applicant	n. 申请人
application	n. 申请，应用
applique	n. 贴花，贴花细工\nv. 缝上，在...上贴花
apply	v. 应用，申请，涂
appoint	v. 任命，约定，下令
appointment	n. 任命，约会
apportion	v. 分派
appraisal	n. 估量，评价
appraise	v. 估量，评价
appreciable	adj. 可看到的
appreciably	adv. 相当大地
appreciate	v. 欣赏，感激，重视，涨价，鉴赏
appreciation	n. 欣赏，感激
appreciative	adj. 感激的
apprehend	v. 逮捕，领会
apprentice	n. 学校，初学者，学徒\nv. 当学徒，使当学徒
apprise	v. 通知
apprize	v. 通知
approach	n. 途径，进路，近似\nv. 接近，近似，靠近
appropriate	v. 拨给\nadj. 恰当的
approval	n. 同意，批准，赞成
approve	v. 赞成，批准
approximate	v. 近似，约略
approximately	adv. 近乎，大约
approximation	n. 近似值
apricot	n. 杏，杏子\nadj. 杏黄色的
april	n. 四月
apron	n. 回车场，围裙
apropos	adj. 恰当的\nadv. 附带地，恰当地\nprep. 关于
apt	adj. 恰当的，易于..的，聪明的\nadv. 倾向于
aptitude	n. 才智，天资，恰当，倾向，能力
aqualung	n. 水肺
aquaplane	n. 滑水板\nv. 在积水的路面打滑
aquarium	n. 水旅馆，养鱼缸
aquatic	n. 水上运动，水生植物\nadj. 水上的，水生的
aqueduct	n. 导管，沟渠
aqueous	adj. 水成的，水的
aquiline	adj. 鹰的，似鹰的
arab	n. 阿拉伯，阿拉伯人\nadj. 阿拉伯的
arabian	n. 阿拉伯人，阿拉伯语
arabic	adj. 阿拉伯的
arable	n. 可耕地\nadj. 可耕的
arbiter	n. 裁决人，仲裁人
arbitrage	n. 套利，仲裁
arbitrary	adj. 专横的，任意的，专断的
arbitrate	v. 仲裁，裁决，裁定
arbitration	n. 仲裁
arbitrator	n. 仲裁员
arboreal	adj. 树木的
arboretum	n. 树木园
arbour	n. 花园，棚架
arc	n. 弧，电弧\nv. 形成电弧
arch	n. 拱门，弓形，拱，拱形\nv. 使成弓形，拱起\nadj. 调皮的，为首的
archaeologist	n. 考古学家
archaeology	n. 考古学
archaic	adj. 古代的，古体的
archaism	n. 古词，拟古主义
archbishop	n. 大主教
archer	n. 弓箭手，人马座
archetype	n. 典型，范典
architect	n. 建筑师，设计师\nv. 设计
architecture	n. 建筑学
archives	n. 档案馆，档案
archway	n. 拱道，拱门
arclamp	n. 弧光灯
arctic	n. 北极\nadj. 北极的，极冷的
ardent	adj. 热心的，强烈的
